starttime	seconds	ctime	dtime	ttime	wait
Tue Feb 13 11:20:23 2024	1707819623	0	111	111	111
Tue Feb 13 11:20:04 2024	1707819604	0	111	111	111
Tue Feb 13 11:20:19 2024	1707819619	0	111	111	111
Tue Feb 13 11:20:21 2024	1707819621	0	112	112	111
Tue Feb 13 11:20:13 2024	1707819613	0	112	112	111
Tue Feb 13 11:20:18 2024	1707819618	0	112	112	111
Tue Feb 13 11:20:06 2024	1707819606	0	112	112	111
Tue Feb 13 11:20:13 2024	1707819613	0	112	112	111
Tue Feb 13 11:20:17 2024	1707819617	0	112	112	111
Tue Feb 13 11:20:10 2024	1707819610	0	112	112	111
Tue Feb 13 11:20:05 2024	1707819605	0	112	112	111
Tue Feb 13 11:20:19 2024	1707819619	0	112	112	112
Tue Feb 13 11:20:07 2024	1707819607	0	112	112	112
Tue Feb 13 11:20:10 2024	1707819610	0	112	112	112
Tue Feb 13 11:20:14 2024	1707819614	0	112	112	112
Tue Feb 13 11:20:10 2024	1707819610	0	112	112	112
Tue Feb 13 11:20:06 2024	1707819606	0	112	112	112
Tue Feb 13 11:20:07 2024	1707819607	0	112	112	112
Tue Feb 13 11:20:20 2024	1707819620	0	112	112	112
Tue Feb 13 11:20:06 2024	1707819606	0	112	112	112
Tue Feb 13 11:20:12 2024	1707819612	0	112	112	112
Tue Feb 13 11:20:06 2024	1707819606	0	112	112	112
Tue Feb 13 11:20:07 2024	1707819607	0	112	112	112
Tue Feb 13 11:20:19 2024	1707819619	0	112	112	112
Tue Feb 13 11:20:19 2024	1707819619	0	112	112	112
Tue Feb 13 11:20:03 2024	1707819603	0	112	112	112
Tue Feb 13 11:20:03 2024	1707819603	0	112	112	112
Tue Feb 13 11:20:13 2024	1707819613	0	112	112	112
Tue Feb 13 11:20:03 2024	1707819603	0	112	112	112
Tue Feb 13 11:20:22 2024	1707819622	0	112	112	112
Tue Feb 13 11:20:11 2024	1707819611	0	112	112	112
Tue Feb 13 11:20:21 2024	1707819621	0	112	112	112
Tue Feb 13 11:20:21 2024	1707819621	0	112	112	112
Tue Feb 13 11:20:23 2024	1707819623	0	112	112	112
Tue Feb 13 11:20:06 2024	1707819606	0	112	112	112
Tue Feb 13 11:20:17 2024	1707819617	0	112	112	112
Tue Feb 13 11:20:12 2024	1707819612	0	112	112	112
Tue Feb 13 11:20:02 2024	1707819602	0	112	112	112
Tue Feb 13 11:20:20 2024	1707819620	0	112	112	112
Tue Feb 13 11:20:18 2024	1707819618	0	112	112	112
Tue Feb 13 11:20:13 2024	1707819613	0	112	112	112
Tue Feb 13 11:20:11 2024	1707819611	0	112	112	112
Tue Feb 13 11:20:07 2024	1707819607	0	112	112	112
Tue Feb 13 11:20:02 2024	1707819602	0	112	112	112
Tue Feb 13 11:20:17 2024	1707819617	0	112	112	112
Tue Feb 13 11:20:14 2024	1707819614	0	112	112	112
Tue Feb 13 11:20:01 2024	1707819601	0	112	112	112
Tue Feb 13 11:20:07 2024	1707819607	0	112	112	112
Tue Feb 13 11:20:01 2024	1707819601	0	112	112	112
Tue Feb 13 11:20:20 2024	1707819620	0	112	112	112
Tue Feb 13 11:20:05 2024	1707819605	0	112	112	112
Tue Feb 13 11:20:15 2024	1707819615	0	112	112	112
Tue Feb 13 11:20:00 2024	1707819600	0	112	112	112
Tue Feb 13 11:20:15 2024	1707819615	0	112	112	112
Tue Feb 13 11:20:18 2024	1707819618	0	112	112	112
Tue Feb 13 11:20:21 2024	1707819621	0	112	112	112
Tue Feb 13 11:20:02 2024	1707819602	0	112	112	112
Tue Feb 13 11:20:15 2024	1707819615	0	112	112	112
Tue Feb 13 11:20:18 2024	1707819618	0	112	112	112
Tue Feb 13 11:20:22 2024	1707819622	0	112	112	112
Tue Feb 13 11:20:08 2024	1707819608	0	112	112	112
Tue Feb 13 11:20:01 2024	1707819601	0	112	112	112
Tue Feb 13 11:20:16 2024	1707819616	0	112	112	112
Tue Feb 13 11:20:01 2024	1707819601	0	112	112	112
Tue Feb 13 11:20:14 2024	1707819614	0	112	112	112
Tue Feb 13 11:20:04 2024	1707819604	0	112	112	112
Tue Feb 13 11:20:04 2024	1707819604	0	112	112	112
Tue Feb 13 11:20:04 2024	1707819604	0	112	112	112
Tue Feb 13 11:20:02 2024	1707819602	0	112	112	112
Tue Feb 13 11:20:16 2024	1707819616	0	113	113	112
Tue Feb 13 11:20:19 2024	1707819619	0	113	113	112
Tue Feb 13 11:20:09 2024	1707819609	0	113	113	112
Tue Feb 13 11:20:04 2024	1707819604	0	113	113	112
Tue Feb 13 11:20:15 2024	1707819615	0	113	113	112
Tue Feb 13 11:20:08 2024	1707819608	0	113	113	112
Tue Feb 13 11:20:11 2024	1707819611	0	113	113	112
Tue Feb 13 11:20:19 2024	1707819619	0	113	113	113
Tue Feb 13 11:20:04 2024	1707819604	0	113	113	113
Tue Feb 13 11:20:10 2024	1707819610	0	113	113	113
Tue Feb 13 11:20:20 2024	1707819620	0	113	113	113
Tue Feb 13 11:20:04 2024	1707819604	0	113	113	113
Tue Feb 13 11:20:15 2024	1707819615	0	113	113	113
Tue Feb 13 11:20:23 2024	1707819623	0	113	113	113
Tue Feb 13 11:20:01 2024	1707819601	0	113	113	113
Tue Feb 13 11:20:03 2024	1707819603	0	113	113	113
Tue Feb 13 11:20:07 2024	1707819607	0	113	113	113
Tue Feb 13 11:20:13 2024	1707819613	0	113	113	113
Tue Feb 13 11:20:16 2024	1707819616	0	113	113	113
Tue Feb 13 11:20:05 2024	1707819605	0	113	113	113
Tue Feb 13 11:20:08 2024	1707819608	0	113	113	113
Tue Feb 13 11:20:22 2024	1707819622	0	113	113	113
Tue Feb 13 11:20:03 2024	1707819603	0	113	113	113
Tue Feb 13 11:20:02 2024	1707819602	0	113	113	113
Tue Feb 13 11:20:10 2024	1707819610	0	113	113	113
Tue Feb 13 11:20:21 2024	1707819621	0	113	113	113
Tue Feb 13 11:20:11 2024	1707819611	0	113	113	113
Tue Feb 13 11:20:14 2024	1707819614	0	113	113	113
Tue Feb 13 11:20:03 2024	1707819603	0	113	113	113
Tue Feb 13 11:20:05 2024	1707819605	0	113	113	113
Tue Feb 13 11:20:17 2024	1707819617	0	113	113	113
Tue Feb 13 11:20:05 2024	1707819605	0	113	113	113
Tue Feb 13 11:20:01 2024	1707819601	0	113	113	113
Tue Feb 13 11:20:07 2024	1707819607	0	113	113	113
Tue Feb 13 11:20:14 2024	1707819614	0	113	113	113
Tue Feb 13 11:20:13 2024	1707819613	0	113	113	113
Tue Feb 13 11:20:08 2024	1707819608	0	114	114	113
Tue Feb 13 11:20:11 2024	1707819611	0	114	114	113
Tue Feb 13 11:20:02 2024	1707819602	0	114	114	113
Tue Feb 13 11:20:22 2024	1707819622	0	114	114	114
Tue Feb 13 11:20:06 2024	1707819606	0	114	114	114
Tue Feb 13 11:20:23 2024	1707819623	0	114	114	114
Tue Feb 13 11:20:07 2024	1707819607	0	114	114	114
Tue Feb 13 11:20:12 2024	1707819612	0	114	114	114
Tue Feb 13 11:20:15 2024	1707819615	0	114	114	114
Tue Feb 13 11:20:14 2024	1707819614	0	114	114	114
Tue Feb 13 11:20:01 2024	1707819601	0	114	114	114
Tue Feb 13 11:20:09 2024	1707819609	0	114	114	114
Tue Feb 13 11:20:17 2024	1707819617	0	114	114	114
Tue Feb 13 11:20:11 2024	1707819611	0	114	114	114
Tue Feb 13 11:20:02 2024	1707819602	0	115	115	114
Tue Feb 13 11:20:22 2024	1707819622	0	115	115	114
Tue Feb 13 11:20:22 2024	1707819622	0	115	115	114
Tue Feb 13 11:20:06 2024	1707819606	0	115	115	115
Tue Feb 13 11:20:17 2024	1707819617	0	115	115	114
Tue Feb 13 11:20:22 2024	1707819622	0	115	115	114
Tue Feb 13 11:20:11 2024	1707819611	0	115	115	115
Tue Feb 13 11:20:18 2024	1707819618	0	115	115	115
Tue Feb 13 11:20:22 2024	1707819622	0	115	115	115
Tue Feb 13 11:20:05 2024	1707819605	0	115	115	115
Tue Feb 13 11:20:16 2024	1707819616	0	115	115	115
Tue Feb 13 11:20:03 2024	1707819603	0	115	115	115
Tue Feb 13 11:20:09 2024	1707819609	0	115	115	115
Tue Feb 13 11:20:03 2024	1707819603	0	115	115	115
Tue Feb 13 11:20:03 2024	1707819603	0	115	115	115
Tue Feb 13 11:20:00 2024	1707819600	0	115	115	115
Tue Feb 13 11:20:09 2024	1707819609	0	115	115	115
Tue Feb 13 11:20:08 2024	1707819608	0	115	115	115
Tue Feb 13 11:20:16 2024	1707819616	0	115	115	115
Tue Feb 13 11:20:09 2024	1707819609	0	116	116	115
Tue Feb 13 11:20:18 2024	1707819618	0	116	116	116
Tue Feb 13 11:20:17 2024	1707819617	0	116	116	116
Tue Feb 13 11:20:13 2024	1707819613	0	116	116	116
Tue Feb 13 11:20:08 2024	1707819608	0	116	116	116
Tue Feb 13 11:20:20 2024	1707819620	0	117	117	117
Tue Feb 13 11:20:22 2024	1707819622	0	117	117	117
Tue Feb 13 11:20:05 2024	1707819605	0	117	117	117
Tue Feb 13 11:20:20 2024	1707819620	0	117	117	117
Tue Feb 13 11:20:13 2024	1707819613	0	117	117	117
Tue Feb 13 11:20:05 2024	1707819605	0	118	118	118
Tue Feb 13 11:20:01 2024	1707819601	0	120	120	120
Tue Feb 13 11:20:05 2024	1707819605	0	120	120	120
Tue Feb 13 11:20:02 2024	1707819602	0	120	120	120
Tue Feb 13 11:20:02 2024	1707819602	0	121	121	121
Tue Feb 13 11:20:14 2024	1707819614	0	121	121	121
Tue Feb 13 11:20:12 2024	1707819612	0	123	123	123
Tue Feb 13 11:20:10 2024	1707819610	0	124	124	124
Tue Feb 13 11:20:06 2024	1707819606	0	137	137	137
Tue Feb 13 11:20:09 2024	1707819609	0	142	142	142
Tue Feb 13 11:20:11 2024	1707819611	326	114	440	114
Tue Feb 13 11:20:00 2024	1707819600	328	112	440	112
