starttime	seconds	ctime	dtime	ttime	wait
Tue Feb 13 11:20:34 2024	1707819634	0	47	47	47
Tue Feb 13 11:20:36 2024	1707819636	0	47	47	47
Tue Feb 13 11:20:34 2024	1707819634	0	47	47	47
Tue Feb 13 11:20:38 2024	1707819638	0	47	47	47
Tue Feb 13 11:20:36 2024	1707819636	0	47	47	47
Tue Feb 13 11:20:29 2024	1707819629	0	47	47	47
Tue Feb 13 11:20:37 2024	1707819637	0	47	47	47
Tue Feb 13 11:20:31 2024	1707819631	0	48	48	47
Tue Feb 13 11:20:38 2024	1707819638	0	48	48	47
Tue Feb 13 11:20:38 2024	1707819638	0	48	48	47
Tue Feb 13 11:20:36 2024	1707819636	0	48	48	47
Tue Feb 13 11:20:33 2024	1707819633	0	48	48	47
Tue Feb 13 11:20:29 2024	1707819629	0	48	48	48
Tue Feb 13 11:20:39 2024	1707819639	0	48	48	48
Tue Feb 13 11:20:29 2024	1707819629	0	48	48	48
Tue Feb 13 11:20:37 2024	1707819637	0	48	48	48
Tue Feb 13 11:20:38 2024	1707819638	0	48	48	48
Tue Feb 13 11:20:29 2024	1707819629	0	48	48	48
Tue Feb 13 11:20:38 2024	1707819638	0	49	49	49
Tue Feb 13 11:20:30 2024	1707819630	0	49	49	49
Tue Feb 13 11:20:38 2024	1707819638	0	49	49	49
Tue Feb 13 11:20:39 2024	1707819639	0	49	49	49
Tue Feb 13 11:20:35 2024	1707819635	0	49	49	49
Tue Feb 13 11:20:34 2024	1707819634	0	49	49	49
Tue Feb 13 11:20:38 2024	1707819638	0	50	50	49
Tue Feb 13 11:20:30 2024	1707819630	0	50	50	50
Tue Feb 13 11:20:36 2024	1707819636	0	50	50	50
Tue Feb 13 11:20:38 2024	1707819638	0	50	50	50
Tue Feb 13 11:20:35 2024	1707819635	0	51	51	51
Tue Feb 13 11:20:33 2024	1707819633	0	51	51	51
Tue Feb 13 11:20:34 2024	1707819634	0	52	52	52
Tue Feb 13 11:20:37 2024	1707819637	0	53	53	53
Tue Feb 13 11:20:38 2024	1707819638	0	53	53	53
Tue Feb 13 11:20:39 2024	1707819639	0	53	53	53
Tue Feb 13 11:20:30 2024	1707819630	0	54	54	54
Tue Feb 13 11:20:39 2024	1707819639	0	54	54	54
Tue Feb 13 11:20:37 2024	1707819637	0	55	55	55
Tue Feb 13 11:20:33 2024	1707819633	0	55	55	55
Tue Feb 13 11:20:36 2024	1707819636	0	56	56	55
Tue Feb 13 11:20:32 2024	1707819632	0	57	57	57
Tue Feb 13 11:20:35 2024	1707819635	0	57	57	57
Tue Feb 13 11:20:31 2024	1707819631	0	58	58	57
Tue Feb 13 11:20:31 2024	1707819631	0	58	58	57
Tue Feb 13 11:20:32 2024	1707819632	0	59	59	59
Tue Feb 13 11:20:35 2024	1707819635	0	59	59	59
Tue Feb 13 11:20:39 2024	1707819639	0	59	59	59
Tue Feb 13 11:20:31 2024	1707819631	0	59	59	59
Tue Feb 13 11:20:37 2024	1707819637	0	59	59	59
Tue Feb 13 11:20:38 2024	1707819638	0	59	59	59
Tue Feb 13 11:20:36 2024	1707819636	0	61	61	61
Tue Feb 13 11:20:31 2024	1707819631	0	61	61	61
Tue Feb 13 11:20:31 2024	1707819631	0	62	62	62
Tue Feb 13 11:20:38 2024	1707819638	0	62	62	62
Tue Feb 13 11:20:39 2024	1707819639	0	63	63	63
Tue Feb 13 11:20:37 2024	1707819637	0	63	63	63
Tue Feb 13 11:20:36 2024	1707819636	0	64	64	64
Tue Feb 13 11:20:34 2024	1707819634	0	65	65	65
Tue Feb 13 11:20:29 2024	1707819629	0	66	66	66
Tue Feb 13 11:20:33 2024	1707819633	0	68	68	67
Tue Feb 13 11:20:36 2024	1707819636	0	68	68	67
Tue Feb 13 11:20:37 2024	1707819637	0	69	69	69
Tue Feb 13 11:20:37 2024	1707819637	0	70	70	69
Tue Feb 13 11:20:34 2024	1707819634	0	71	71	71
Tue Feb 13 11:20:29 2024	1707819629	0	71	71	71
Tue Feb 13 11:20:36 2024	1707819636	0	75	75	75
Tue Feb 13 11:20:29 2024	1707819629	0	76	76	76
Tue Feb 13 11:20:35 2024	1707819635	0	79	79	79
Tue Feb 13 11:20:32 2024	1707819632	0	82	82	82
Tue Feb 13 11:20:34 2024	1707819634	0	86	86	86
Tue Feb 13 11:20:37 2024	1707819637	0	86	86	86
Tue Feb 13 11:20:29 2024	1707819629	0	94	94	94
Tue Feb 13 11:20:29 2024	1707819629	0	102	102	102
Tue Feb 13 11:20:32 2024	1707819632	0	112	112	112
Tue Feb 13 11:20:34 2024	1707819634	0	121	121	121
Tue Feb 13 11:20:30 2024	1707819630	0	129	129	128
Tue Feb 13 11:20:34 2024	1707819634	120	48	169	48
Tue Feb 13 11:20:31 2024	1707819631	0	174	174	174
Tue Feb 13 11:20:28 2024	1707819628	115	77	192	77
Tue Feb 13 11:20:33 2024	1707819633	0	313	313	313
Tue Feb 13 11:20:32 2024	1707819632	0	361	361	361
